issue_id,issue_type,entity_type,polity_id,polity_name,field_name,selected_value,alternative_values,source_titles,source_urls,note,action_in_v03
issue_0011,merged_v02_contexts,polity,polity_0045,后周,polity_name/dynasty_name,五代十国/五代/后周,五代十国/五代/后周(951..960) | 五代十国/五代十国/後周(951..960),《旧五代史·周书》/《宋史》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0012,merged_v02_contexts,polity,polity_0046,后唐,polity_name/dynasty_name,五代十国/五代/后唐,五代十国/五代/后唐(923..936) | 五代十国/五代十国/後唐(923..936),《旧五代史·唐书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0013,merged_v02_contexts,polity,polity_0047,后晋,polity_name/dynasty_name,五代十国/五代/后晋,五代十国/五代/后晋(936..947) | 五代十国/五代十国/後晉(936..947),《旧五代史·晋书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0014,merged_v02_contexts,polity,polity_0048,后梁,polity_name/dynasty_name,五代十国/五代/后梁,五代十国/五代/后梁(907..923) | 五代十国/五代十国/後梁(907..923),《旧五代史·梁书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0015,merged_v02_contexts,polity,polity_0049,后汉,polity_name/dynasty_name,五代十国/五代/后汉,五代十国/五代/後漢(947..951) | 五代十国/五代十国/後漢(947..951),《旧五代史·汉书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0016,merged_v02_contexts,polity,polity_0052,后蜀,polity_name/dynasty_name,五代十国/十国/后蜀,五代十国/五代十国/後蜀(934..965) | 五代十国/十国/後蜀(934..965),《宋史·世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0017,merged_v02_contexts,polity,polity_0057,吴越,polity_name/dynasty_name,五代十国/十国/吴越,五代十国/五代十国/吳越(907..978) | 五代十国/十国/吳越(907..978),《宋史·吴越世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0018,merged_v02_contexts,polity,polity_0077,杨吴,polity_name/dynasty_name,五代十国/十国/杨吴,五代十国/五代十国/楊吳(907..937) | 五代十国/十国/楊吳(902..937),《新五代史·吴世家》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0019,merged_v02_contexts,polity,polity_0083,梁朝,polity_name/dynasty_name,魏晋南北朝/南北朝/梁朝,魏晋南北朝/南北朝/梁(502..557) | 魏晋南北朝/南北朝/梁朝(502..557),《梁书》/《陈书》,https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0020,merged_v02_contexts,polity,polity_0121,荆南,polity_name/dynasty_name,五代十国/十国/荆南,五代十国/五代十国/荊南(924..963) | 五代十国/十国/荆南(924..963),《宋史·世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0021,partial_boundary,polity,polity_0125,薛国,polity_start_year/polity_end_year,..-327,,战国史考,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 缺少可解析的完整起止年份；v03 不伪造缺失边界，只保留 v02 已有年度范围。,yearly table generated from existing v02 actual years for this polity
issue_0022,merged_v02_contexts,polity,polity_0129,西周,polity_name/dynasty_name,周/周朝/西周,周/周代诸侯国/西周(-1046..-771) | 周/周朝/西周(-1046..-771),《史记·周本纪》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0023,merged_v02_contexts,polity,polity_0132,西晋,polity_name/dynasty_name,两晋/西晋/西晋,两晋/五胡十六国/西晉(306..316) | 两晋/西晉/西晉(266..316),《晋书·愍帝纪》,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0024,merged_v02_contexts,polity,polity_0147,邓至,polity_name/dynasty_name,魏晋南北朝/五胡十六国外政权/邓至,魏晋南北朝/五胡十六国外政权/邓至(502..554) | 魏晋南北朝/五胡十六国外政权/鄧至(430..554),《魏书》/《周书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E8%83%A1%E5%8D%81%E5%85%AD%E5%9B%BD | https://zh.wikipedia.org/wiki/%E4%BA%94%E8%83%A1%E5%8D%81%E5%85%AD%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0025,merged_v02_contexts,polity,polity_0155,闽,polity_name/dynasty_name,五代十国/十国/闽,五代十国/五代十国/閩(909..945) | 五代十国/十国/閩(909..945),《新五代史·闽世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0026,merged_v02_contexts,polity,polity_0157,陈朝,polity_name/dynasty_name,魏晋南北朝/南北朝/陈朝,魏晋南北朝/南北朝/陳(557..589) | 魏晋南北朝/南北朝/陳朝(557..589),《陈书》/《隋书》,https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D | https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0027,merged_v02_contexts,polity,polity_0163,马楚,polity_name/dynasty_name,五代十国/十国/马楚,五代十国/五代十国/馬楚(907..951) | 五代十国/十国/馬楚(907..951),《新五代史·楚世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,v02 中存在简繁、异体或泛称/专称重复上下文；v03 合并为一个 polity_id。,merged into one polity master record and regenerated yearly rows once
issue_0028,chronology_variant,polity,polity_0050,后燕,polity_end_year,407,409,《晋书·慕容垂等载记》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E8%83%A1%E5%8D%81%E5%85%AD%E5%9B%BD | https://zh.wikipedia.org/wiki/%E4%BA%94%E8%83%A1%E5%8D%81%E5%85%AD%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,v02 采用 407 年高云即位建北燕为终点；部分纪年表列 409 年。,selected value retained; issue documented
issue_0029,chronology_variant,polity,polity_0096,清朝,polity_end_year,1912,1911,《清史稿》/《宣统帝退位诏书》,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3,v03 沿用《清帝逊位诏书》公历 1912-02-12 为终点；部分简表按宣统三年/1911 口径列示。,selected value retained; issue documented
issue_0030,chronology_variant,polity,polity_0013,元朝,polity_start_year,1271,1206,《元史》/《明史》,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3,v03 采用大元国号/中原王朝口径；部分资料从 1206 年蒙古建国起算。,selected value retained; issue documented
issue_0031,chronology_variant,polity,polity_0047,后晋,polity_end_year,947,946,《旧五代史·晋书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,后晋灭亡可按契丹入汴与出帝降附事件口径出现 946/947 差异；v03 沿用 v02/release_note 口径。,selected value retained; issue documented
issue_0032,chronology_variant,polity,polity_0049,后汉,polity_end_year,951,950,《旧五代史·汉书》,https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD | https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,后汉终年可按年表改元或郭威代汉事件出现 950/951 差异；v03 沿用 v02/release_note 口径。,selected value retained; issue documented
issue_0033,chronology_variant,polity,polity_0121,荆南,polity_end_year,963,960,《宋史·世家》,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8 | https://zh.wikipedia.org/wiki/%E4%BA%94%E4%BB%A3%E5%8D%81%E5%9B%BD,荆南/南平终年在不同年表中有纳土归宋和传统十国表区间差异；v03 沿用 v02/release_note 口径。,selected value retained; issue documented
issue_0034,chronology_variant,polity,polity_0131,西夏,polity_start_year,1038,1032,《西夏书事》/《元史》,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0 | https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E6%9C%9D%E4%BB%A3,西夏起点可按称帝建国或前期政权延续口径不同；v03 沿用 v02/release_note 口径。,selected value retained; issue documented
issue_0035,chronology_variant,polity,polity_0169,大理,polity_start_year,937,938,《宋史·大理传》/《滇略》,https://zh.wikipedia.org/wiki/%E5%A4%A7%E7%90%86,段思平称帝建大理一般用 937 年；少数地方史料如《白古通》记作 938 年。本表沿用 937。,selected value retained; issue documented
issue_0036,partial_boundary,polity,polity_0169,大理,polity_continuity,937-1253 含后理段连续,拆分大理 937-1094 + 后理 1096-1253,《宋史·大理传》/《元史·大理传》,https://zh.wikipedia.org/wiki/%E5%A4%A7%E7%90%86,1094 高升泰篡为大中国（另列 polity），1096 段氏复立，史称后理。本表合并段氏全朝；1094-1096 见 polity_0169 大中国。,merged as one polity; usurpation tracked as separate polity_0169
issue_0037,chronology_variant,polity,polity_0171,渤海,polity_start_year,698,699,《旧唐书·渤海靺鞨传》/《三国史记·新罗本纪》,https://zh.wikipedia.org/wiki/%E6%B8%A4%E6%B5%B7%E5%9B%BD,大祚荣称王建震国一般用 698 年，少数韩文文献作 699 年。本表沿用 698。,selected value retained; issue documented
issue_0038,chronology_variant,polity,polity_0172,吐蕃,polity_start_year,629,634,《敦煌吐蕃历史文书》/《新唐书·吐蕃传》,https://zh.wikipedia.org/wiki/%E5%90%90%E8%95%83,松赞干布即位年汉文《旧唐书》记 634，藏文敦煌历史文书（编年体早期实录）戊子年（629）。本表采用藏文 629 作为吐蕃王朝起点。,selected value retained; issue documented
issue_0039,chronology_variant,polity,polity_0173,高句丽,polity_start_year,-37,公元 1 世纪初（考古口径）,《三国史记·高句丽本纪》/ 现代考古,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%8F%A5%E9%BA%97,传统纪年沿用《三国史记》前 37 年朱蒙建国，但现代考古学者多认为高句丽早期带传说色彩，真正的国家形态形成在 1 世纪初。,selected value retained; issue documented
issue_0040,chronology_variant,polity,polity_0176,西突厥,ruler_reign_years,本表沿用《旧唐书·突厥传》主线,岑仲勉《突厥集史》、内田吟风等校本,《旧唐书·突厥传》/ 岑仲勉《突厥集史》,https://zh.wikipedia.org/wiki/%E8%A5%BF%E7%AA%81%E5%8E%A5,西突厥诸可汗在位年学界分歧显著（莫贺咄、肆叶护、咄陆三可汗尤甚）；本表择两唐书主线 + 岑仲勉校本中位，置信度普遍 ≤ 75。,selected value retained; issue documented
issue_0041,chronology_variant,polity,polity_0178,匈奴,polity_end_year,91,93,《后汉书·南匈奴列传》/《资治通鉴》,https://zh.wikipedia.org/wiki/%E5%8C%88%E5%A5%B4,北匈奴单于走窜年份汉书与通鉴略有差异：91 燕然破之后单于走，93 年北单于实际再败北窜；本表取 91 为北匈奴帝国实质终结。,selected value retained; issue documented
issue_0042,partial_boundary,polity,polity_0181,高昌回鹘,ruler_succession,本表沿用可考的 9 位亦都护,学界对 9-13 世纪间的亦都护断代仍有较多空白,《元史·亦都护传》/ 现代学者考证,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%98%8C%E5%9B%9E%E9%B6%BB,高昌回鹘亦都护世系汉文文献记载多有阙漏，特别是 900~1023 年间几乎无系统记录；本表仅列有明确史料支撑的几位，缺失年间作为 year_polity_unmatched_ruler 保留。,polity_continuity preserved; ruler gaps tracked as unmatched-ruler years
issue_0043,partial_boundary,polity,polity_0182,甘州回鹘,ruler_succession,本表沿用可考的 7 位可汗,9 世纪后期至 10 世纪初世系空白,《宋史·回鹘传》/《辽史》,https://zh.wikipedia.org/wiki/%E7%94%98%E5%B7%9E%E5%9B%9E%E9%B6%BB,甘州回鹘 866~905 年的可汗世系汉文文献几乎无记载，本表此期作为 year_polity_unmatched_ruler 保留。,polity_continuity preserved; ruler gaps tracked as unmatched-ruler years
